Collège Grange           ;    ;7:08;    ;7:46;8:52;9:30;10:25;11:40;     ;12:07;     ;     ;13:08;13:31;14:24;     ;15:49;16:09;     ;     ;17:08;17:44;18:08;18:53;19:28;     ;
Bon Accueil              ;    ;7:09;    ;7:48;8:53;9:31;10:26;11:41;     ;12:08;     ;     ;13:09;13:32;14:25;     ;15:50;16:10;     ;     ;17:09;17:45;18:09;18:54;19:29;     ;
La Réclusière            ;    ;7:10;    ;7:49;8:53;9:31;10:26;11:41;     ;12:09;     ;     ;13:09;13:33;14:26;     ;15:51;16:11;     ;     ;17:10;17:46;18:10;18:54;19:29;     ;
Les Charavelles          ;    ;7:11;    ;7:51;8:54;9:32;10:27;11:42;     ;12:10;     ;     ;13:10;13:34;14:27;     ;15:52;16:12;     ;     ;17:11;17:47;18:11;18:55;19:30;     ;
Jean Jaurès              ;    ;7:12;    ;7:52;8:54;9:32;10:27;11:42;     ;12:11;     ;     ;13:10;13:35;14:28;     ;15:53;16:13;     ;     ;17:12;17:48;18:12;18:55;19:30;     ;
Place d'Arpot            ;    ;7:13;    ;7:53;8:55;9:33;10:28;11:43;     ;12:12;     ;     ;13:11;13:36;14:29;     ;15:54;16:14;     ;     ;17:13;17:49;18:13;18:56;19:31;     ;
Diderot                  ;    ;7:14;    ;7:54;8:56;9:34;10:29;11:44;     ;12:13;     ;     ;13:12;13:37;14:30;     ;15:55;16:15;     ;     ;17:14;17:50;18:14;18:57;19:32;     ;
Jeu de Paume             ;    ;7:17;    ;7:57;8:59;9:37;10:32;11:47;     ;12:16;     ;     ;13:15;13:40;14:33;     ;15:58;16:18;     ;     ;17:17;17:53;18:17;19:00;19:35;     ;
Jardin de Ville          ;    ;7:19;    ;7:59;9:01;9:39;10:34;11:49;     ;12:18;     ;     ;13:17;13:42;14:35;     ;16:00;16:20;     ;     ;17:19;17:55;18:19;19:02;19:37;     ;
Gare de Vienne A         ;    ;7:27;    ;8:08;9:08;9:46;10:41;11:56;     ;12:26;     ;     ;13:24;13:50;14:43;     ;16:08;16:28;     ;     ;17:27;18:04;18:27;19:09;19:44;     ;

Gare de Vienne D         ;6:47;    ;7:37;8:10;9:10;    ;10:44;     ;12:06;     ;12:31;12:44;13:26;14:00;14:45;15:13;16:10;     ;16:45;17:10;17:45;18:08;18:38;19:11;19:46;20:15;
Les Célestes             ;6:48;    ;7:38;8:12;9:11;    ;10:45;     ;12:07;     ;12:32;12:45;13:27;14:02;14:46;15:14;16:11;     ;16:46;17:11;17:47;18:12;18:39;19:12;19:47;20:16;
Les Tupinières           ;6:49;    ;7:39;8:13;9:11;    ;10:45;     ;12:08;     ;12:32;12:45;13:27;14:02;14:46;15:15;16:11;     ;16:47;17:11;17:48;18:12;18:39;19:12;19:47;20:17;
L'Octroi                 ;6:49;    ;7:39;8:13;9:12;    ;10:46;     ;12:08;     ;12:33;12:46;13:28;14:03;14:47;15:15;16:12;     ;16:47;17:12;17:48;18:13;18:40;19:13;19:48;20:17;
La Passardière           ;6:50;    ;7:40;8:14;9:13;    ;10:47;     ;12:09;     ;12:34;12:47;13:29;14:04;14:48;15:16;16:13;     ;16:48;17:13;17:49;18:14;18:41;19:14;19:49;20:18;
La Petite Rente          ;6:50;    ;7:40;8:15;9:13;    ;10:47;     ;12:09;     ;12:34;12:47;13:29;14:04;14:48;15:16;16:13;     ;16:48;17:13;17:50;18:14;18:41;19:14;19:49;20:18;
Saint Benoît             ;6:51;    ;7:41;8:16;9:14;    ;10:48;     ;12:10;     ;12:35;12:48;13:30;14:05;14:49;15:17;16:14;     ;16:49;17:14;17:51;18:15;18:42;19:15;19:50;20:19;
Roche Claire             ;6:52;    ;7:42;8:17;9:15;    ;10:49;     ;12:11;     ;12:36;12:48;13:31;14:06;14:50;15:18;16:15;     ;16:50;17:15;17:52;18:16;18:43;19:16;19:51;20:20;
Collonge                 ;6:52;    ;7:42;8:17;9:15;    ;10:49;     ;12:11;     ;12:36;12:49;13:31;14:07;14:50;15:18;16:15;     ;16:50;17:15;17:52;18:16;18:43;19:16;19:51;20:20;
Jean Monnet              ;6:53;    ;7:43;8:18;9:16;    ;10:50;     ;12:12;     ;12:37;12:49;13:32;14:07;14:51;15:19;16:16;     ;16:51;17:16;17:53;18:17;18:44;19:17;19:52;20:21;
Saint Ignace             ;6:54;    ;7:44;8:18;9:16;    ;10:50;     ;12:13;     ;12:38;12:50;13:32;14:08;14:51;15:20;16:16;     ;16:52;17:17;17:53;18:18;18:44;19:17;19:52;20:22;
Les Hauts de Malissol    ;6:54;    ;7:44;8:19;9:17;    ;10:51;     ;12:13;     ;12:38;12:50;13:33;14:09;14:52;15:20;16:17;     ;16:52;17:17;17:54;18:18;18:45;19:18;19:53;20:22;
Les Hameaux de Malissol  ;6:55;    ;7:45;8:20;9:17;    ;10:51;     ;12:14;     ;12:39;12:51;13:33;14:09;14:52;15:21;16:17;     ;16:53;17:18;17:55;18:19;18:45;19:18;19:53;20:23;
Malissol La Ferme        ;6:55;    ;7:45;8:21;9:18;    ;10:52;     ;12:14;     ;12:39;12:51;13:34;14:10;14:53;15:21;16:18;     ;16:53;17:18;17:56;18:19;18:46;19:19;19:54;20:23;
L’Horloge                ;6:57;    ;7:46;    ;9:19;    ;10:53;     ;12:17;     ;12:40;12:52;13:35;14:11;14:54;15:22;16:19;     ;16:54;17:19;17:57;18:20;18:47;19:20;19:55;20:24;
Les Cèdres               ;7:01;    ;7:47;    ;9:20;    ;10:54;     ;12:22;     ;12:41;12:53;13:36;14:12;14:55;15:23;16:20;     ;16:55;17:20;17:58;18:21;18:48;19:21;19:56;20:25;
Rond-Point Malissol      ;    ;    ;7:48;    ;9:21;    ;10:55;     ;     ;     ;12:41;12:53;13:37;14:13;14:56;15:24;16:21;     ;16:56;17:20;18:00;18:22;18:49;19:22;19:57;     ;
Malissol La Gère         ;    ;    ;7:53;    ;9:24;    ;10:58;     ;     ;     ;     ;     ;13:40;14:16;14:59;15:27;16:26;     ;17:01;     ;     ;     ;     ;     ;     ;     ;
L'Abbaye                 ;    ;    ;    ;    ;    ;    ;     ;     ;     ;     ;12:42;12:54;     ;     ;     ;     ;     ;     ;     ;17:21;18:23;     ;     ;     ;     ;     ;
Frèrejean                ;    ;    ;    ;    ;    ;    ;     ;     ;     ;     ;12:42;12:54;     ;     ;     ;     ;     ;     ;     ;17:21;18:24;     ;     ;     ;     ;     ;
Z.A. de Montplaisir Calor;    ;    ;    ;    ;    ;    ;     ;     ;     ;     ;12:42;12:54;     ;     ;     ;     ;     ;     ;     ;17:21;18:24;     ;     ;     ;     ;     ;
Estrablin Bréguet        ;    ;    ;    ;    ;    ;    ;     ;     ;     ;     ;12:43;12:55;     ;     ;     ;     ;     ;     ;     ;17:22;18:25;     ;     ;     ;     ;     ;
Tabourette Routier       ;    ;    ;    ;    ;    ;    ;     ;     ;     ;     ;12:44;12:56;     ;     ;     ;     ;     ;     ;     ;17:23;18:28;     ;     ;     ;     ;     ;
Estrablin le Pinay       ;    ;    ;    ;    ;    ;    ;     ;     ;     ;     ;12:45;12:57;     ;     ;     ;     ;     ;     ;     ;17:24;18:29;     ;     ;     ;     ;     ;
Perrière                 ;    ;    ;    ;    ;    ;    ;     ;     ;     ;     ;12:47;12:59;     ;     ;     ;     ;     ;     ;     ;17:26;18:31;     ;     ;     ;     ;     ;
Le Village               ;    ;    ;    ;    ;    ;    ;     ;     ;     ;     ;12:48;13:00;     ;     ;     ;     ;     ;     ;     ;17:27;18:33;     ;     ;     ;     ;     ;
Le Bois Balay            ;    ;    ;    ;    ;    ;    ;     ;     ;     ;     ;12:53;     ;     ;     ;     ;     ;     ;     ;     ;17:32;18:34;     ;     ;     ;     ;     ;