Estressin Centre Commercial ;    ;    ;    ;    ;    ;8:17;    ;8:50;10:00;11:05;     ;     ;12:05;     ;     ;     ;     ;     ;14:17;15:06;15:35;16:00;     ;     ;     ;16:40;     ;     ;     ;18:45;     ;     ;
Estressin Z.I.              ;5:50;6:52;    ;    ;    ;8:18;    ;8:51;10:01;11:06;     ;     ;12:06;     ;     ;     ;     ;     ;14:18;15:07;15:36;16:01;     ;     ;     ;16:41;     ;     ;     ;18:46;     ;     ;
Claude Bernard          ;5:51;6:53;    ;    ;    ;8:19;    ;8:52;10:02;11:07;     ;     ;12:07;     ;     ;     ;     ;     ;14:19;15:08;15:37;16:02;     ;     ;     ;16:42;     ;     ;     ;18:47;     ;     ;
Savoie                  ;5:51;6:53;    ;    ;    ;8:19;    ;8:52;10:02;11:07;     ;     ;12:07;     ;     ;     ;     ;     ;14:19;15:08;15:37;16:02;     ;     ;     ;16:42;     ;     ;     ;18:47;     ;     ;
Centre Social           ;5:52;6:54;    ;    ;    ;8:20;    ;8:53;10:03;11:08;     ;     ;12:08;     ;     ;     ;     ;     ;14:20;15:09;15:38;16:03;     ;     ;     ;16:43;     ;     ;     ;18:48;     ;     ;
Pierre et Marie Curie   ;5:52;6:55;    ;    ;    ;8:21;    ;8:54;10:04;11:09;     ;     ;12:09;     ;     ;     ;     ;     ;14:21;15:10;15:39;16:04;     ;     ;     ;16:44;     ;     ;     ;18:48;     ;     ;
Cité Jardin             ;5:53;6:56;    ;    ;    ;8:22;    ;8:55;10:05;11:10;     ;     ;12:10;     ;     ;     ;     ;     ;14:22;15:11;15:40;16:05;     ;     ;     ;16:45;     ;     ;     ;18:49;     ;     ;
Gare d'Estressin        ;5:53;6:57;    ;    ;    ;8:23;    ;8:56;10:06;11:11;     ;     ;12:11;     ;     ;     ;     ;     ;14:23;15:12;15:41;16:06;     ;     ;     ;16:46;     ;     ;     ;18:50;     ;     ;
Port au Prince          ;5:54;6:58;    ;    ;    ;8:24;    ;8:57;10:07;11:12;     ;     ;12:12;     ;     ;     ;     ;     ;14:24;15:13;15:42;16:07;     ;     ;     ;16:47;     ;     ;     ;18:51;     ;     ;
Étienne Rey             ;5:54;6:58;    ;    ;    ;8:24;    ;8:57;10:07;11:12;     ;     ;12:12;     ;     ;     ;     ;     ;14:24;15:13;15:42;16:07;     ;     ;     ;16:47;     ;     ;     ;18:51;     ;     ;
Pasteur                 ;5:55;6:59;    ;    ;    ;8:25;    ;8:58;10:08;11:13;     ;     ;12:13;     ;     ;     ;     ;     ;14:25;15:14;15:43;16:08;     ;     ;     ;16:48;     ;     ;     ;18:52;     ;     ;
Jeu de Paume            ;5:59;7:03;    ;    ;    ;8:29;    ;9:02;10:12;11:17;     ;     ;12:17;     ;     ;     ;     ;     ;14:29;15:18;15:47;16:12;     ;     ;     ;16:52;     ;     ;     ;18:57;     ;     ;
Jardin de Ville         ;6:01;7:06;    ;    ;    ;8:32;    ;9:05;10:15;11:20;     ;     ;12:20;     ;     ;     ;     ;     ;14:32;15:21;15:50;16:15;     ;     ;     ;16:55;     ;     ;     ;18:59;     ;     ;
Gare de Vienne A        ;6:06;7:11;    ;    ;    ;8:37;    ;9:10;10:20;11:25;     ;     ;12:25;     ;     ;     ;     ;     ;14:37;15:26;15:55;16:20;     ;     ;     ;17:00;     ;     ;     ;19:05;     ;     ;     
Gare de Vienne D        ;6:10;    ;7:04;7:34;8:12;8:42;9:05;9:13;     ;11:28;11:45;12:00;     ;12:19;12:35;13:02;13:23;14:09;14:40;15:29;     ;     ;16:07;16:25;16:46;17:09;17:27;17:57;18:30;     ;18:47;19:09;19:39
Champs de Mars          ;6:11;    ;7:05;7:35;8:13;8:43;9:06;9:14;     ;11:29;11:46;12:01;     ;12:20;12:36;13:03;13:24;14:10;14:41;15:30;     ;     ;16:08;16:26;16:47;17:10;17:28;17:58;18:31;     ;18:48;19:10;19:40
Cours Verdun            ;6:11;    ;7:05;7:35;8:13;8:43;9:06;9:14;     ;11:29;11:46;12:01;     ;12:20;12:36;13:03;13:24;14:10;14:41;15:30;     ;     ;16:10;16:26;16:47;17:10;17:28;17:58;18:31;     ;18:48;19:10;19:40
Michel Servet           ;6:12;    ;7:06;7:36;8:14;8:44;9:07;9:15;     ;11:30;11:47;12:02;     ;12:21;12:37;13:04;13:25;14:11;14:42;15:31;     ;     ;16:11;16:27;16:48;17:11;17:29;17:59;18:32;     ;18:49;19:11;19:41
La Pyramide             ;6:13;    ;7:07;7:37;8:15;8:45;9:08;9:16;     ;11:31;11:48;12:03;     ;12:22;12:38;13:05;13:26;14:12;14:43;15:32;     ;     ;16:12;16:28;16:49;17:12;17:30;18:00;18:33;     ;18:50;19:12;19:42
Denfert Rochereau       ;6:13;    ;7:07;7:37;8:15;8:45;9:08;9:16;     ;11:31;11:48;12:03;     ;12:22;12:38;13:05;13:26;14:12;14:43;15:32;     ;     ;16:12;16:28;16:49;17:12;17:30;18:00;18:33;     ;18:50;19:12;19:42
Le Trente               ;6:14;    ;7:08;7:38;8:16;8:46;9:09;9:17;     ;11:32;11:49;12:04;     ;12:23;12:39;13:06;13:27;14:13;14:44;15:33;     ;     ;16:13;16:29;16:50;17:13;17:31;18:01;18:34;     ;18:51;19:13;19:43
Parmentier              ;6:15;    ;7:09;7:39;8:17;8:47;9:10;9:18;     ;11:33;11:50;12:05;     ;12:24;12:40;13:07;13:28;14:14;14:45;15:34;     ;     ;16:13;16:30;16:51;17:14;17:32;18:02;18:35;     ;18:52;19:14;19:44
Jean Moulin             ;6:16;    ;7:10;7:40;8:18;8:48;9:11;9:19;     ;11:34;11:51;12:06;     ;12:25;12:41;13:08;13:29;14:15;14:46;15:35;     ;     ;16:14;16:31;16:52;17:15;17:33;18:03;18:36;     ;18:53;19:15;19:45
Lycée Galilée           ;6:17;    ;7:11;7:41;8:19;8:49;9:12;9:20;     ;11:35;11:52;12:07;     ;12:26;12:42;13:09;13:30;14:16;14:47;15:36;     ;     ;16:15;16:32;16:53;17:16;17:34;18:04;18:37;     ;18:54;19:16;19:46
Saint-Avour             ;6:18;    ;7:12;7:42;8:20;8:50;9:13;9:21;     ;11:36;11:53;12:08;     ;12:27;12:43;13:10;13:31;14:17;14:48;15:37;     ;     ;16:16;16:33;16:54;17:17;17:35;18:05;18:38;     ;18:55;19:17;19:47
Notre-Dame de l'Isle    ;6:19;    ;7:13;7:43;    ;8:51;    ;9:22;     ;11:37;     ;     ;     ;12:28;     ;13:11;     ;     ;14:49;15:38;     ;     ;
Parc Relais Sud         ;    ;    ;    ;    ;8:21;    ;9:14;    ;     ;     ;11:54;12:09;     ;     ;12:44;     ;13:32;14:18;     ;     ;     ;     ;16:17;16:34;16:55;17:18;17:36;18:06;18:39;     ;18:56;19:18;19:48
Collège de l'Isle       ;6:23;    ;7:19;7:49;8:27;8:55;9:18;9:26;     ;11:43;12:00;12:15;     ;12:34;12:50;13:17;13:38;14:24;14:55;15:44;     ;     ;16:25;16:40;17:01;17:24;17:42;18:12;18:45;     ;19:02;19:24;19:52