Stade de Malissol           ;    ;10:35;12:08;     ;14:49;17:39
Malissol Victor Hugo        ;    ;10:36;12:09;     ;14:50;17:40
Les Hameaux de Malissol     ;    ;10:37;12:10;     ;14:51;17:41
Malissol La Ferme           ;    ;10:37;12:10;     ;14:51;17:41
L'Horloge                   ;    ;10:37;12:10;     ;14:51;17:41
Les Cèdres                  ;    ;10:38;12:11;     ;14:52;17:42
Rond-Point Malissol         ;    ;10:39;12:12;     ;14:53;17:43
L'Abbaye                    ;    ;10:40;12:13;     ;14:54;17:44
Frèrejean                   ;    ;10:41;12:14;     ;14:55;17:45
Z.A de Montplaisir          ;    ;10:41;12:14;     ;14:55;17:45
Champ de Course             ;    ;10:41;12:14;     ;14:55;17:45
La Feyta                    ;    ;10:42;12:15;     ;14:56;17:46
Plan des Aures              ;    ;10:43;12:16;     ;14:57;17:47
Les Gentianes               ;    ;10:44;12:17;     ;14:58;17:48
Les Mésanges                ;    ;10:45;12:18;     ;14:59;17:49
Centre Pont-Evêque          ;    ;10:46;12:19;     ;15:00;17:50
Les Bleuets                 ;    ;10:47;12:20;     ;15:01;17:51
Les Forges                  ;    ;10:48;12:21;     ;15:02;17:52
La Véga                     ;    ;10:49;12:22;     ;15:03;17:53
Roncevaux                   ;    ;10:52;12:25;     ;15:06;17:56
Charlemangne                ;    ;10:53;12:26;     ;15:07;17:57
La Ravat                    ;    ;10:54;12:27;     ;15:08;17:58
Nicolas Chorier             ;    ;10:55;12:28;     ;15:09;17:59
Temple de Cybèle            ;    ;10:56;12:29;     ;15:10;18:00
Gare de Vienne A            ;    ;10:57;12:30;     ;15:11;18:02
Gare de Vienne D            ;9:28;10:59;     ;13:11;15:14;18:08
Jardin de Ville             ;9:30;11:06;     ;13:22;15:16;18:10
Saint Maurice               ;9:31;11:07;     ;13:23;15:17;18:11
Jeu de Paume                ;9:34;11:08;     ;13:24;15:18;18:12
tullerie                    ;9:34;11:10;     ;13:26;15:20;18:14
Les Portes de Lyon          ;9:35;11:11;     ;13:27;15:21;18:15
Pasteur                     ;9:36;11:12;     ;13:28;15:22;18:16
Étienne Rey                 ;9:37;11:13;     ;13:29;15:23;18:17
Port au Prince              ;9:37;11:13;     ;13:29;15:23;18:17
Gare d'Estressin            ;9:38;11:14;     ;13:30;15:24;18:18
Cité Jardin                 ;9:39;11:15;     ;13:31;15:25;18:19
Pierre et Marie Curie       ;9:40;11:16;     ;13:32;15:26;18:20
Centre Social               ;9:40;11:16;     ;13:32;15:26;18:20
Savoie                      ;9:41;11:17;     ;13:33;15:27;18:21
Claude Bernard              ;9:41;11:17;     ;13:33;15:27;18:21
Estressin Z.I.              ;9:42;11:18;     ;13:34;15:28;18:22
Estressin Centre Commercial ;9:44;11:20;     ;13:36;15:30;18:24