Gare de Vienne       ;10:00;12:40;14:30;15:40;17:05
Jardin de Ville      ;10:02;12:42;14:32;15:42;17:07
Saint Maurice        ;10:04;12:44;14:34;15:44;17:09
Jeu de Paume         ;10:05;12:45;14:35;15:45;17:10
Cuvière              ;10:06;12:46;14:36;15:46;17:11
Place Drapière       ;10:07;12:47;14:37;15:47;17:12
École Maupas         ;10:08;12:48;14:38;15:48;17:13
Boulevard Maupas     ;10:10;12:50;14:40;15:50;17:15
Maison d'Enfants     ;10:11;12:51;14:41;15:51;17:16
Hameau Guillemottes  ;10:12;12:52;14:42;15:52;17:17
Guillemottes         ;10:13;12:53;14:43;15:53;17:18
Mont Salomon         ;10:14;12:54;14:44;15:54;17:19
Hôpital L. Hussel    ;10:15;12:55;14:45;15:55;17:20
Hôpital-Gérontologie ;10:16;12:56;14:46;15:56;17:21