Hôpital-Gérontologie ;10:18;13:00;14:48;16:00;17:33
Hôpital L. Hussel    ;10:18;13:00;14:48;16:00;17:33
IME la Bâtie         ;10:19;13:01;14:49;16:01;17:34
Mont Salomon         ;10:20;13:02;14:50;16:02;17:35
Guillemottes         ;10:21;13:03;14:51;16:03;17:36
Hameau Guillemottes  ;10:22;13:04;14:52;16:04;17:37
Maison d'Enfants     ;10:23;13:05;14:53;16:05;17:38
Boulevard Maupas     ;10:24;13:06;14:54;16:06;17:39
École Maupas         ;10:25;13:07;14:55;16:07;17:40
Place Drapière       ;10:27;13:09;14:57;16:09;17:42
Cuvière              ;10:28;13:10;14:58;16:10;17:43
Jeu de Paume         ;10:29;13:11;14:59;16:11;17:44
Jardin de Ville      ;10:32;13:14;15:02;16:14;17:47
Gare de Vienne       ;10:34;13:16;15:04;16:16;17:49