Gare de Vienne               ;6:26;7:56;9:46 ;11:26;13:50;15:19;16:46;18:38
Jardin de Ville              ;6:27;7:57;9:47 ;11:27;13:51;15:20;16:47;18:39
Saint Maurice                ;6:29;8:00;9:49 ;11:28;13:52;15:21;16:49;18:40
Jeu de Paume                 ;6:30;8:02;9:51 ;11:29;13:53;15:22;16:51;18:41
Tuilerie                     ;6:31;8:03;9:52 ;11:30;13:54;15:23;16:52;18:42
Les Portes de Lyon           ;6:31;8:04;9:53 ;11:31;13:55;15:24;16:53;18:43
Pasteur                      ;6:32;8:04;9:53 ;11:31;13:55;15:24;16:53;18:43
Étienne Rey                  ;6:32;8:05;9:54 ;11:32;13:56;15:25;16:54;18:44
Savoie                       ;6:34;8:07;9:56 ;11:34;13:58;15:27;16:56;18:46
Claude Bernard               ;6:35;8:08;9:57 ;11:35;13:59;15:28;16:57;18:47
Estressin Z.I.               ;6:35;8:08;9:57 ;11:35;13:59;15:28;16:57;18:47
Z.I. Seyssuel Tuilerie       ;6:38;8:11;10:00;11:38;14:02;15:31;17:00;18:50
Z.I. Seyssuel Les Gardières  ;6:38;8:11;10:00;11:38;14:02;15:31;17:00;18:50
Z.I. Seyssuel Restaurant     ;6:38;8:11;10:00;11:38;14:02;15:31;17:00;18:50
Centre Commercial Escalières ;6:41;8:14;10:03;11:41;14:05;15:34;17:03;18:53
Centre Commercial Devalors   ;6:41;8:14;10:03;11:41;14:05;15:34;17:03;18:53
Place Jules Ferry            ;6:50;8:20;10:09;11:47;14:11;15:40;17:09;18:59
Cimetière de Chasse          ;6:51;8:21;10:10;11:48;14:12;15:41;17:10;19:00
Avenue F. Mitterrand         ;6:53;8:23;10:12;11:50;14:14;15:43;17:12;19:02
Barbières Mendès France      ;    ;8:23;10:12;11:50;14:14;15:43;17:12;19:02
Barbières 19 mars 1962       ;    ;8:24;10:13;11:51;14:15;15:44;17:13;19:03
Quartier Gare                ;6:55;8:27;10:16;11:54;14:18;15:47;17:16;19:06
Cité Berquet                 ;6:57;8:29;10:18;11:56;14:20;15:49;17:18;19:08
Rond-Point Flevieu           ;6:58;8:33;10:22;12:00;14:24;15:53;17:25;19:12
Z.I. de l'Islon              ;6:59;8:34;10:23;12:01;14:25;15:54;17:26;19:13