La Maladière          ;09:35;12:30;14:00;16:20;18:30
Centre Hospitalier    ;09:35;12:30;14:00;16:20;18:30
Salle de L’Arbuel     ;09:36;12:31;14:01;16:21;18:31
Centre                ;09:37;12:32;14:02;16:22;18:32
Bassenon              ;09:38;12:33;14:03;16:23;18:33
Tupin                 ;09:41;12:36;14:06;16:26;18:36
Le Goutay             ;09:42;12:37;14:07;16:27;18:37
Place de L’Eglise     ;09:43;12:38;14:08;16:28;18:38
La Roche              ;09:44;12:39;14:09;16:29;18:39
Vérenay               ;09:45;12:40;14:10;16:30;18:40
Centre Nautique       ;09:47;12:42;14:12;16:32;18:42
Trénel                ;09:50;12:45;14:15;16:35;18:45
Mairie                ;09:51;12:46;14:16;16:36;18:46
Lycée Ella Fitzgerald ;09:52;12:47;14:17;16:37;18:47
Village               ;09:53;12:48;14:18;16:38;18:48
Chemin de la Lone     ;09:54;12:49;14:19;16:39;18:49
Hameau Barlet         ;09:56;12:51;14:21;16:41;18:51
La Roche Moussy       ;10:00;12:55;14:25;16:45;18:55
Capas                 ;10:01;12:56;14:26;16:46;18:56
Place Libération      ;10:01;12:56;14:26;16:46;18:56
Gare Sncf             ;10:02;12:57;14:27;16:47;18:57
Freyssinet Rd386      ;10:02;12:57;14:27;16:47;18:57
La Lone               ;10:04;12:59;14:29;16:49;18:59
Tour de Bans          ;10:05;13:00;14:30;16:50;19:00
Port de Bief          ;10:06;13:01;14:31;16:51;19:01
Place de la Liberté   ;10:07;13:02;14:32;16:52;19:02
Gare de Givors-Ville  ;10:09;13:04;14:34;16:54;19:04