La Maladière          ;06:35;07:25;08:20;11:00;12:25;16:30;18:05
Centre Hospitalier    ;06:35;07:25;08:21;11:00;12:25;16:30;18:05
Salle de L’Arbuel     ;06:36;07:26;08:22;11:01;12:26;16:31;18:06
Centre                ;06:37;07:27;08:23;11:02;12:27;16:32;18:07
Bassenon              ;06:38;07:28;08:24;11:03;12:28;16:33;18:08
Tupin                 ;06:41;07:31;08:28;11:06;12:31;16:36;18:11
Le Goutay             ;06:42;07:32;08:29;11:07;12:32;16:37;18:12
Place de L’Eglise     ;06:43;07:33;08:30;11:08;12:33;16:38;18:13
La Roche              ;06:44;07:34;08:31;11:09;12:34;16:39;18:14
Vérenay               ;06:48;07:38;08:35;11:10;12:35;16:43;18:18
Centre Nautique       ;06:52;07:42;08:38;11:12;12:37;16:46;18:21
Trénel                ;06:54;07:44;08:40;11:15;12:40;16:49;18:24
Mairie                ;06:54;07:44;08:40;11:16;12:41;16:50;18:25
Lycée Ella Fitzgerald ;06:55;07:45;08:41;11:17;12:42;16:51;18:26
Village               ;06:56;07:46;08:42;11:18;12:43;16:52;18:27
Chemin de la Lone     ;06:57;07:47;08:43;11:19;12:44;16:53;18:28
Hameau Barlet         ;07:00;07:50;08:46;11:21;12:46;16:55;18:30
La Roche Moussy       ;07:05;07:55;08:50;11:25;12:50;16:59;18:34
Capas                 ;07:05;07:55;08:51;11:26;12:51;17:00;18:35
Place Libération      ;07:06;07:56;08:51;11:26;12:51;17:00;18:35
Gare Sncf             ;07:07;07:57;08:52;11:27;12:52;17:01;18:36
Freyssinet Rd386      ;07:09;07:59;08:53;11:27;12:52;17:02;18:37
La Lone               ;07:12;08:02;08:56;11:29;12:54;17:04;18:39
Tour de Bans          ;07:14;08:04;08:57;11:30;12:55;17:05;18:40
Port de Bief          ;07:16;08:06;08:59;11:31;12:56;17:06;18:41
Place de la Liberté   ;07:19;08:09;09:01;11:32;12:57;17:08;18:43
Gare de Givors-Ville  ;07:24;08:14;09:03;11:34;12:59;17:10;18:45