Gare de Givors-Ville  ;10:20;13:20;14:50;17:50;19:20
Place de la Liberté   ;10:22;13:22;14:52;17:52;19:22
Port de Bief          ;10:23;13:23;14:53;17:53;19:23
Tour de Bans          ;10:25;13:25;14:55;17:55;19:25
La Lone               ;10:25;13:25;14:55;17:55;19:25
Freyssinet Rd386      ;10:27;13:27;14:57;17:57;19:27
Gare Sncf             ;10:28;13:28;14:58;17:58;19:28
Place Libération      ;10:29;13:29;14:59;17:59;19:29
Capas                 ;10:29;13:29;14:59;17:59;19:29
La Roche Moussy       ;10:30;13:30;15:00;18:00;19:30
Hameau Barlet         ;10:34;13:34;15:04;18:04;19:34
Chemin de la Lone     ;10:36;13:36;15:06;18:06;19:36
Village               ;10:37;13:37;15:07;18:07;19:37
Lycée Ella Fitzgerald ;10:38;13:38;15:08;18:08;19:38
Mairie                ;10:39;13:39;15:09;18:09;19:39
Trénel                ;10:39;13:39;15:09;18:09;19:39
Centre Nautique       ;10:43;13:43;15:13;18:13;19:43
Vérenay               ;10:44;13:44;15:14;18:14;19:44
La Roche              ;10:46;13:46;15:16;18:16;19:46
Place de L’Eglise     ;10:46;13:46;15:16;18:16;19:46
Le Goutay             ;10:48;13:48;15:18;18:18;19:48
Tupin                 ;10:49;13:49;15:19;18:19;19:49
Bassenon              ;10:52;13:52;15:22;18:22;19:52
Centre                ;10:53;13:53;15:23;18:23;19:53
Salle de L’Arbuel     ;10:54;13:54;15:24;18:24;19:54
Centre Hospitalier    ;10:55;13:55;15:25;18:25;19:55
La Maladière          ;10:56;13:56;15:26;18:26;19:56